ID_Cliente,Idade,Anos_Experiencia,Renda_Anual_Mil,CEP,Tamanho_Familia,Gasto_Medio_Cartao,Escolaridade,Valor_Hipoteca,Aceitou_Emprestimo,Conta_Investimento,Conta_CD,Usa_Internet_Banking,Tem_Cartao_Credito_Banco,Segmento_Renda,Perfil_Gasto,Propensao_Emprestimo
1023,27,3,118,95605,1,3.3,2,0,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1024,45,20,109,94117,1,7.0,1,366,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1025,58,33,122,93711,4,0.2,2,0,1,0,1,1,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1026,62,37,50,94545,3,1.5,1,169,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
1027,28,4,43,95616,3,0.1,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
1028,32,7,108,94550,1,4.6,1,0,0,1,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1029,29,4,110,92096,4,2.5,3,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1030,41,17,20,94720,1,1.4,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1031,61,35,112,90024,4,1.7,3,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1032,56,32,25,95403,1,0.1,2,136,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1033,37,12,42,94720,3,0.7,2,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
1034,60,34,29,95973,2,0.3,1,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1035,49,23,84,90095,3,2.1,1,134,0,1,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1036,43,17,81,94720,4,2.6,3,0,0,1,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1037,53,28,55,94720,4,0.9,1,119,0,0,0,1,1,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1038,35,11,40,93106,1,2.4,2,0,0,1,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
1039,56,30,145,95831,4,5.7,2,0,1,0,1,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1040,41,16,175,94304,2,1.1,3,0,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1041,36,6,78,91107,4,1.8,3,163,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1042,56,32,51,92780,4,1.5,1,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1043,64,34,50,95616,4,1.67,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1044,51,27,21,95630,3,0.4,1,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1045,49,24,79,95827,1,0.2,2,83,0,0,0,1,1,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1046,43,18,84,92096,1,4.0,3,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1047,51,26,34,94105,4,0.4,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1048,55,31,73,94143,4,1.6,2,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1049,62,37,90,95747,3,0.5,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1050,35,10,23,94501,4,0.2,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1051,53,27,145,90095,2,6.1,3,294,1,0,1,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1052,33,7,54,92886,4,0.2,1,141,0,1,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1053,43,17,49,95812,3,2.2,2,103,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1054,58,32,51,95819,1,2.8,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1055,63,38,8,95136,4,0.6,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1056,31,6,62,95630,1,1.0,1,0,0,1,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1057,36,6,25,95020,1,0.67,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1058,30,0,63,95503,2,1.75,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1059,59,34,24,94105,2,0.2,3,86,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1060,28,2,11,91203,1,0.1,2,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1061,59,34,23,93111,1,0.1,1,0,0,0,0,0,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1062,47,22,33,91105,1,1.4,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1063,47,21,83,92220,1,3.8,1,97,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1064,56,30,39,90024,3,1.4,1,131,0,0,0,0,1,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1065,41,17,138,95008,3,6.9,2,0,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1066,25,1,113,90401,3,2.5,1,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1067,30,5,125,90016,4,0.5,3,0,1,0,1,1,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1068,50,24,195,95035,1,1.7,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1069,34,9,105,90035,3,1.2,3,0,0,1,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1070,44,18,75,91203,2,3.5,1,0,1,0,0,1,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1071,36,9,40,90840,2,1.0,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1072,39,14,61,94005,3,0.5,3,137,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1073,54,24,75,90089,2,4.5,3,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1074,33,8,122,94583,1,0.0,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1075,39,14,75,95762,3,3.0,1,0,0,0,0,0,1,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1076,41,15,59,90024,4,0.2,3,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1077,40,13,24,94608,3,1.0,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1078,29,3,175,90095,3,3.3,3,329,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1079,51,27,39,92709,2,0.8,1,182,0,0,0,0,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1080,54,30,145,94591,2,6.8,1,0,0,1,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1081,47,22,24,90717,4,0.4,2,142,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1082,53,28,20,94080,3,0.1,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1083,30,5,85,94115,1,2.6,2,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1084,28,3,65,95014,3,2.6,3,0,0,1,0,0,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1085,60,35,191,93407,4,5.6,3,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1086,51,26,11,92612,2,0.0,1,0,0,1,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1087,63,37,40,94024,2,1.0,3,167,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1088,38,13,54,92028,3,0.7,2,196,0,0,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1089,59,35,95,95521,1,3.8,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1090,53,29,94,92103,4,1.0,2,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1091,31,5,79,94720,4,2.2,2,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1092,41,17,48,94720,3,0.3,3,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
1093,25,1,70,92120,4,2.6,1,0,0,1,0,1,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1094,27,3,40,94550,3,0.1,2,111,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1095,50,24,44,94086,4,1.8,1,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1096,50,25,43,92129,1,1.4,3,137,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
1097,43,18,29,90245,1,0.3,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1098,50,24,188,92007,3,1.3,1,184,1,0,0,0,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1099,46,20,114,90720,1,0.0,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1100,30,6,52,92717,3,0.7,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1101,42,16,13,91711,1,0.2,1,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1102,42,17,95,90095,3,0.5,3,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1103,29,3,84,95023,1,2.9,3,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1104,38,14,49,90037,1,1.8,1,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1105,51,25,181,93106,1,1.7,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1106,35,10,182,95051,1,0.3,2,229,1,0,1,1,1,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1107,37,13,70,92101,2,2.7,1,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1108,47,21,79,94110,3,1.1,1,185,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1109,55,29,61,95051,4,2.8,2,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1110,65,41,121,92126,2,2.1,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1111,58,33,34,92028,3,0.2,1,83,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1112,54,28,183,90071,1,1.0,1,442,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1113,52,28,51,94949,1,1.6,3,0,0,1,0,0,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1114,28,2,70,90630,3,0.3,3,0,0,0,0,0,1,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1115,32,8,39,95827,1,1.7,1,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
1116,51,24,84,94117,3,2.0,2,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1117,43,18,122,92056,1,7.0,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1118,42,18,145,94709,1,1.7,1,132,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1119,42,17,98,95670,2,0.4,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1120,41,16,79,96064,1,1.0,3,233,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1121,34,8,38,94304,2,2.0,3,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
1122,30,6,49,91330,3,0.7,2,196,0,0,0,0,1,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
1123,32,7,38,90041,1,1.0,1,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1124,46,20,91,92521,4,2.6,3,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1125,38,12,29,94022,4,0.2,1,0,0,0,0,0,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1126,37,13,172,95003,2,6.5,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1127,32,8,104,95192,2,3.7,1,0,1,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1128,35,9,58,91101,1,2.5,1,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1129,30,5,171,94025,2,1.9,2,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1130,30,4,73,94305,3,3.3,1,0,1,0,1,1,1,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1131,58,32,191,94402,1,2.9,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1132,57,27,90,91709,2,4.5,3,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1133,34,9,55,94920,3,2.3,1,0,0,1,1,1,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1134,31,4,28,94126,1,2.0,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
1135,39,14,42,95616,1,2.5,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1136,57,33,9,93106,1,0.1,2,91,0,1,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1137,47,21,65,94086,1,1.5,2,0,0,1,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1138,51,26,134,90230,4,4.5,3,0,1,1,1,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1139,30,6,83,93101,4,3.4,1,0,0,1,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1140,55,28,38,95616,3,1.0,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1141,32,6,13,94611,4,0.3,1,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1142,32,7,143,91365,3,2.9,3,0,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1143,44,20,75,91335,4,1.9,1,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1144,33,7,120,94022,1,3.2,3,0,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1145,49,24,91,95822,1,2.8,2,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1146,32,6,99,92101,2,1.5,3,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1147,31,7,71,90034,1,0.1,1,78,0,1,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1148,37,13,111,91367,1,0.8,2,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1149,41,15,108,90034,1,5.2,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1150,56,32,158,91763,1,7.4,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1151,55,31,81,95521,3,2.67,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1152,49,23,12,94720,2,0.1,3,0,0,1,1,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1153,63,37,21,95831,2,0.4,1,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1154,55,30,55,92821,4,0.9,1,215,0,0,0,1,1,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1155,59,35,42,93555,1,1.8,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1156,41,16,81,92653,2,0.4,1,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1157,49,25,13,94305,4,0.2,1,87,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1158,48,23,132,94998,1,0.6,1,157,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1159,41,16,99,92660,1,1.0,3,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1160,50,26,23,92028,4,0.2,1,0,0,0,0,0,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1161,28,1,40,95134,1,2.0,2,0,0,1,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
1162,36,11,181,94309,3,1.4,1,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1163,38,14,112,94501,2,2.2,1,394,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1164,34,9,138,94720,2,7.8,1,227,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1165,41,17,94,90071,3,3.8,2,327,1,1,1,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1166,43,19,113,91203,1,1.7,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1167,30,5,112,91711,4,5.0,2,0,1,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1168,37,12,190,92354,2,3.0,1,475,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1169,62,37,38,91706,1,1.1,3,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1170,40,16,32,92110,1,1.4,3,158,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1171,35,10,104,91320,3,0.6,2,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1172,64,40,43,95014,1,1.9,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1173,49,24,45,92104,3,1.7,2,0,0,1,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1174,24,-1,35,94305,2,1.7,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
1175,36,10,42,93106,4,1.2,2,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
1176,29,4,58,91006,1,0.8,2,0,0,0,0,1,1,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1177,29,3,103,90049,4,3.4,1,0,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1178,28,3,71,90405,1,3.3,2,149,1,1,1,1,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1179,33,7,14,94025,1,0.4,2,98,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1180,36,11,98,90291,3,1.2,3,0,0,1,0,0,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1181,42,17,90,90504,1,0.1,2,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1182,25,0,65,90095,4,0.2,1,0,0,1,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1183,28,2,19,94720,4,0.4,1,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1184,50,25,35,94105,3,1.7,2,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
1185,34,9,71,90041,4,1.3,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1186,43,19,31,94025,3,0.5,1,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1187,62,38,43,94928,4,1.2,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
1188,61,36,24,94309,1,1.5,2,87,0,1,0,0,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1189,45,19,58,94305,2,0.4,3,0,0,1,0,0,1,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1190,42,17,115,92717,2,0.4,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1191,39,15,168,93117,2,8.0,1,152,0,1,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1192,29,5,128,94111,1,1.5,1,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1193,45,20,138,92870,1,7.0,1,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1194,58,32,81,92121,3,1.7,2,0,0,0,0,1,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1195,29,3,41,94305,4,1.3,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
1196,32,7,123,92407,2,2.9,2,0,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1197,37,13,71,94609,2,2.7,1,94,0,0,0,1,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1198,48,23,8,92866,1,0.4,3,0,0,0,0,0,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1199,40,14,42,94801,2,0.7,1,101,0,0,0,1,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
1200,29,4,62,92064,2,2.5,1,184,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1201,36,12,22,92507,4,1.0,1,91,0,1,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1202,35,8,38,95060,4,1.0,2,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1203,35,11,24,95521,4,0.4,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1204,62,37,50,91311,3,2.4,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1205,26,1,190,91604,4,1.3,2,197,1,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1206,32,7,94,91361,2,3.1,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1207,63,37,165,95035,4,5.1,3,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1208,38,12,43,94301,4,1.2,2,0,0,0,0,0,1,Média Renda (41k - 80k),Gasto Médio,Baixa Propensão
1209,50,26,48,91711,1,1.6,2,0,0,0,0,0,1,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1210,46,21,52,91304,3,2.7,2,228,0,0,0,0,1,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1211,50,24,84,93943,4,4.9,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1212,61,36,131,92407,1,0.9,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1213,34,8,44,91101,4,0.2,1,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
1214,27,2,78,93943,4,0.2,1,87,0,0,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Média Propensão
1215,61,36,15,92521,4,0.4,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1216,45,20,38,94550,4,1.9,3,144,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Médio,Média Propensão
1217,50,25,84,91107,1,1.3,3,0,0,1,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1218,44,20,122,94305,1,0.3,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1219,62,36,98,92122,2,2.8,1,0,0,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1220,45,18,80,92407,3,2.67,2,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1221,41,17,165,94143,2,8.0,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1222,30,5,121,94132,2,3.3,1,0,0,0,0,0,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1223,61,37,20,90011,3,0.4,2,94,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1224,45,19,11,96150,1,0.2,1,91,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1225,59,35,45,94920,1,1.8,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1226,30,6,118,94534,2,2.8,2,0,1,0,0,0,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1227,60,36,14,90089,2,0.3,1,109,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1228,39,13,30,92122,3,0.2,2,0,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1229,56,30,45,92870,1,0.2,1,98,0,0,0,0,0,Média Renda (41k - 80k),Gasto Baixo,Baixa Propensão
1230,56,32,80,94596,3,2.67,1,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1231,27,1,25,94920,4,0.3,2,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1232,66,41,144,94306,1,2.5,1,0,0,1,1,1,1,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1233,43,19,84,92646,4,0.2,3,297,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Baixo,Média Propensão
1234,53,29,22,93943,2,0.4,1,0,0,0,0,1,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1235,44,18,33,90405,3,1.5,1,0,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Médio,Baixa Propensão
1236,54,28,60,94110,4,2.6,3,0,0,0,0,0,0,Média Renda (41k - 80k),Gasto Alto,Média Propensão
1237,31,6,81,95762,4,2.2,2,116,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Médio,Média Propensão
1238,38,13,169,92093,1,6.8,3,0,1,0,1,1,1,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
1239,28,2,63,91116,2,1.6,3,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1240,51,26,12,90245,2,0.7,3,109,0,0,0,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1241,52,27,15,91320,4,0.8,1,101,0,0,0,0,0,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1242,64,38,39,92120,1,0.5,3,0,0,1,1,1,1,Baixa Renda (Até 40k),Gasto Baixo,Baixa Propensão
1243,29,4,44,91380,4,2.0,2,0,0,0,0,1,0,Média Renda (41k - 80k),Gasto Médio,Média Propensão
1244,34,10,110,92697,1,4.0,1,0,0,0,0,1,0,Alta Renda (Acima de 80k),Gasto Alto,Alta Propensão
